Experiment,Removed Features,Remaining Features,Accuracy,Precision,Recall,F1,ROC-AUC
Baseline - All Features,,30,0.9962187194629732,0.9992983862884635,0.9918424194190211,0.9955564431574218,0.9979609248444979
Without HTTPS,HTTPS,29,0.9939457025109403,0.9968413136124342,0.9889574214086749,0.9928837174461285,0.9978990884405171
Without Path Length,Path Length,29,0.9958788290776225,0.9987974746968634,0.9915439713489853,0.9951575058659078,0.9979304861660413
Without HTTPS + Path Length,"HTTPS, Path Length",28,0.9906105281046862,0.9923870579985976,0.985575009948269,0.9889693037184927,0.9976818144831155
Without HTTPS + Path + URL Length,"HTTPS, Path Length, URL Length",27,0.9773760462250924,0.984526899781137,0.9621468364504576,0.9732082211768257,0.99593070980844
