Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time
Random Forest,0.9956663975867782,0.9981475918694303,0.9916931953840031,0.9949099256449923,0.9966531599641818,21.56883955001831
Gradient Boosting,0.9962187194629732,0.9992983862884635,0.9918424194190211,0.9955564431574218,0.9979609248444979,87.50156021118164
Decision Tree,0.9955176955431874,0.997947434292866,0.9915439713489853,0.9947353975897603,0.9946153675341322,1.4162874221801758
Logistic Regression,0.9941368908527,0.9997479584635548,0.9865200955033824,0.993089980471684,0.9963399831443789,7.865403890609741
